Order,id,question,decision,original_intent,original_rationale_status,modern_science,evidence_level,recommendation_role,wording,Question,Current wording,Decision,Original intent from explanation,Current scientific interpretation,Evidence level,Review action,PWB role,Historical intent,2026 design status,Original scoring mappings (from form code),Original mapping count
11,,,,,,,,,,Q11,"I smoke, or am exposed to passive smoking",Keep,"Smoking/passive exposure remains a meaningful environmental exposure. The explanation explicitly asks whether the person is around smokers, so passive exposure was deliberately included.",Strong evidence that tobacco smoke exposure is harmful; useful as an exposure/context signal rather than a wellness deficit.,Strong,Retain. Consider frequency/intensity if greater discrimination is needed.,"Relevant to Respiratory, Circulatory and broader resilience pathways; should not diagnose disease.",,Pending whole-model review,circulatory_system; nervous_system; lifestyle_nutrition,3
12,,,,,,,,,,Q12,"I find it hard to concentrate, or have a poor memory for certain things",Keep,"The explanation says: 'Do you feel it is not as good as it should be?', indicating a subjective cognitive-performance signal.","Useful symptom/outcome signal, but poor concentration/memory is non-specific and has many possible causes.",Moderate for symptom capture; low for causal attribution.,Retain as a direct Mental Clarity/Cognitive signal. Avoid inferring a specific nutrient or condition.,Strong direct outcome signal.,,Pending whole-model review,circulatory_system; nervous_system; glandular_system; currently_feeling,4
13,,,,,,,,,,Q13,I have a poor resistance to unhealthy conditions,Modernise,The explanation clarifies that this means catching a cold/flu when one is circulating. The intended concept is susceptibility to common illness rather than the vague wording alone.,"Useful self-reported illness-frequency/susceptibility indicator, but not a direct measure of immune function.",Limited for immune-status interpretation; moderate as a self-reported resilience signal.,Retain concept but modernise wording. It overlaps somewhat with Q2 and should be tested for redundancy.,Supporting Immune/Resilience signal.,,Pending whole-model review,digestive_system; physical_symptoms,2
14,,,,,,,,,,Q14,I sometimes experience discomfort after eating,Keep,"The explanation explicitly defines the symptom as discomfort after eating, including bloating. This is clearly intended as a digestive symptom.",Bloating/post-meal discomfort are useful GI symptom signals but are non-specific and can have multiple causes.,Moderate for symptom capture.,Retain. Potentially distinguish bloating from pain/reflux in a future version only if the model needs it.,Direct Digestive/Gut signal.,,Pending whole-model review,digestive_system; physical_symptoms,2
15,,,,,,,,,,Q15,I live a stressful lifestyle,Keep,"The explanation says 'feel stressed or always on the go', showing a deliberate attempt to capture chronic lifestyle stress rather than a diagnosed condition.","Chronic perceived stress is relevant to sleep, mental wellbeing and multiple physiological pathways, although self-report is subjective.",Strong for stress exposure/self-report; limited for causal attribution to a particular system.,Retain. This is one of the stronger lifestyle questions.,"Direct Stress signal; supporting Sleep, Energy and other outcomes.",,Pending whole-model review,intestinal_system; circulatory_system; nervous_system; glandular_system; lifestyle_nutrition,5
16,,,,,,,,,,Q16,I suffer from skin problems,Keep / review later,"No explanatory subtext is supplied, but the label is straightforward: skin problems.","Skin symptoms can be relevant, but the category is broad and heterogeneous.",Moderate for symptom/context capture; low for identifying a specific cause.,"Retain provisionally, then test whether it adds unique information compared with hair/nail and dietary questions.",Potential Structural/Immune/Digestive context depending on the established mapping.,,Pending whole-model review,digestive_system; intestinal_system; urinary_system; glandular_system; structural_system; physical_symptoms,6
17,,,,,,,,,,Q17,I sometimes crave sweets and/or processed foods,Keep / modernise,"The explanation explicitly gives examples: chocolate, sweets, biscuits and crisps. The intended signal is craving highly palatable/processed foods.","Dietary pattern and intake of highly processed, energy-dense foods are relevant to metabolic and dietary outcomes. Craving itself is not equivalent to high intake.",Moderate for dietary behaviour; stronger if the question distinguishes craving from actual consumption.,"Keep the concept, but consider asking about frequency of ultra-processed/highly processed foods or both craving and intake.",Useful Weight/Digestive/Energy supporting signal.,,Pending whole-model review,nervous_system; glandular_system; lifestyle_nutrition,3
18,,,,,,,,,,Q18,I consume dairy products,Move to dietary profile / review,"The explanation simply defines dairy as milk, yoghurt, cheese and milk in tea/coffee. This appears to measure exposure, not a symptom.","Dairy consumption is not inherently a health problem. Its relevance depends on quantity, individual tolerance, dietary pattern and nutritional context.",Strong evidence that dairy can be part of healthy dietary patterns; insufficient basis for treating consumption itself as a health deficit.,"Move primary role to dietary profile/preferences. If retained in assessment, ask about symptoms/intolerance rather than consumption alone.","Potential dietary exposure, not a general body-system deficit.",,Pending whole-model review,intestinal_system; lifestyle_nutrition,2
19,,,,,,,,,,Q19,Sometimes I feel low and/or apathetic,Keep,"The explanation defines this as feeling down/apathy and 'often can't be bothered', deliberately capturing low mood/motivation.","Useful subjective wellbeing signal, but non-specific and should not be treated as a mental-health diagnosis.",Moderate for symptom/outcome capture.,Retain. Use for Mental Clarity/Stress/Sleep-related interpretation without diagnostic language.,"Supporting Stress, Sleep and Energy; potentially direct wellbeing signal.",,Pending whole-model review,intestinal_system; nervous_system; glandular_system; currently_feeling,4
20,,,,,,,,,,Q20,I can suffer from inadequate or restless sleep,Keep,The explanation explicitly says restless or insufficient sleep because of lifestyle. This is a clear intended sleep-related signal.,"Sleep quantity/quality is strongly relevant to daytime function, cognition, mood and health, although this question does not establish cause.",Strong for sleep symptom/outcome capture.,Retain as a core question. Consider separating duration and restlessness in a future version if useful.,"Direct Sleep signal; supporting Energy, Cognitive and Stress outcomes.",,Pending whole-model review,nervous_system; glandular_system; structural_system; lifestyle_nutrition,4
21,,,,,,,,,,Q21,I can suffer from urinary problems,Keep / clarify,,The historical explanation shows the intended signal is nocturia rather than generic urinary dysfunction.,Moderate as a symptom/context signal; not sufficient to infer a urinary diagnosis.,"Retain, but modernise to make the nocturnal-urination intent explicit. Keep medical interpretation cautious.",Urinary direct/supporting signal.,Urination problems; explanation specifies getting up through the night to use the toilet.,Pending whole-model review,urinary_system; medical_conditions,2
22,,,,,,,,,,Q22,I can have brittle fingernails,Review,,"Likely intended as a visible physical/nutritional status signal, but the supplied document does not state the original body-system rationale.",Limited as a specific indicator because brittle nails have many possible causes.,Keep provisionally pending full-system review; consider replacement if it duplicates stronger nutritional/structural questions.,Low-specificity supporting signal.,Brittle fingernails; explanation asks whether nails shatter or break often.,Pending whole-model review,digestive_system; structural_system; physical_symptoms,3
23,,,,,,,,,,Q23,I have had issues with hair loss,Keep / review,,"The document gives no further rationale, so the historical intent beyond hair loss itself is not explicit.",Hair loss is a real symptom but highly non-specific and can have many causes.,"Retain provisionally, but examine overlap with Q33 and whether both add independent information.",Potential structural/nutritional context.,Noticeable hair loss.,Pending whole-model review,circulatory_system; nervous_system; glandular_system; structural_system; physical_symptoms,5
24,,,,,,,,,,Q24,I have bad fat and/or cholesterol issues,Modernise / split,,"This is clearly intended to capture both dietary fat/food pattern and lipid status, which are different constructs.","Current evidence supports the relevance of diet quality and blood lipids, but the question conflates exposure with a physiological measurement.",Split conceptually: dietary fried/ready-meal exposure should be one signal; known lipid/cholesterol issue should be separate context if needed.,"Important Circulatory/food recommendation signal, but should not conflate diet with diagnosed lipid status.",Bad fats/cholesterol issues; explanation combines fried/ready meals with poor cholesterol ratio.,Pending whole-model review,digestive_system; intestinal_system; circulatory_system; medical_conditions,4
25,,,,,,,,,,Q25,I have difficulty maintaining my ideal weight,Keep,,Directly relevant to the weight-management outcome.,"Body weight is influenced by many factors; this captures the user's experience, not cause.",Retain as a direct outcome signal. Avoid implying that weight difficulty identifies a particular metabolic mechanism.,Direct Weight Management signal.,Difficulty maintaining ideal weight; explanation covers difficulty losing or gaining weight.,Pending whole-model review,nervous_system; glandular_system; structural_system; lifestyle_nutrition,4
26,,,,,,,,,,Q26,I have a lack of stamina,Keep,,"The supplied document provides no further explanation, but the concept is directly relevant to perceived physical capacity.","Useful self-reported performance/energy signal, but non-specific.",Retain. Could potentially be refined to distinguish exercise capacity from general fatigue.,Direct Fitness/Energy signal.,Lack of stamina.,Pending whole-model review,circulatory_system; glandular_system; currently_feeling,3
27,,,,,,,,,,Q27,I can have poor eating habits,Modernise,,The original intent is broad dietary-pattern assessment.,"Useful concept, but 'wrong time/wrong type' is subjective and dated. Modern dietary-pattern questions can be more specific without prescribing a diet.","Retain concept; consider asking about regularity, food quality, highly processed foods, plant diversity or similar measurable behaviours.",Supporting Diet/Weight/Gut signal.,Poor eating habits; explanation asks whether the person eats at the wrong time or the wrong type of food.,Pending whole-model review,digestive_system; intestinal_system; glandular_system; lifestyle_nutrition,4
28,,,,,,,,,,Q28,I recover slowly from poor health,Keep,,Intended as a general recovery/resilience signal.,"Recovery time varies with illness, age and other factors, so it is not a direct immune-function measurement.",Retain as a broad resilience signal with cautious interpretation.,Supporting Resilience/Immune signal.,Slow recovery from poor health; explanation asks whether illness takes a while to clear.,Pending whole-model review,intestinal_system; circulatory_system; glandular_system; medical_conditions,4
29,,,,,,,,,,Q29,I sometimes have infrequent or irregular bowel activity,Keep,,Strongly intended as an intestinal/bowel-function signal.,"Bowel frequency alone varies substantially between healthy individuals; the combination of irregularity, diarrhoea and constipation is broader than one construct.","Retain, but modernise to focus on bowel regularity/consistency and avoid implying that daily bowel movements are required.",Direct Gut/Intestinal signal.,Irregular/infrequent bowel activity; explanation explicitly includes not going daily and diarrhoea/constipation.,Pending whole-model review,digestive_system; intestinal_system; nervous_system; physical_symptoms,4
30,,,,,,,,,,Q30,"I am sometimes edgy or unable to relax, or experience tension",Keep,,Clearly intended as a stress/tension signal.,Useful subjective stress/tension indicator; not diagnostic of an anxiety disorder.,Retain. Strong fit with Stress Resilience and Sleep outcomes.,Direct Stress signal.,Edgy/unable to relax/tension; explanation asks whether the person is nervous or suffers tension.,Pending whole-model review,nervous_system; glandular_system; currently_feeling,3
31,,,,,,,,,,Q31,I have a low-fibre diet,Keep / modernise,,"The construct is dietary fibre exposure, which remains directly relevant to bowel function and overall dietary quality. The old wording can be made more concrete without changing intent.",Strong for dietary relevance; direct relevance to bowel/gut function.,Retain. Consider frequency/food-source framing rather than a vague 'low-fibre' self-judgement.,Direct Gut/Diet signal.,Low-fibre diet. The historical explanation asks whether the person eats enough fibre and gives examples such as fruit and vegetables.,Pending whole-model review,intestinal_system; circulatory_system; lifestyle_nutrition,3
32,,,,,,,,,,Q32,I sometimes get muscle discomfort,Keep,,Direct physical symptom signal.,Useful symptom capture but non-specific and not diagnostic of a particular nutrient deficiency or structural disorder.,Retain as a physical/structural signal and Fitness/Mobility support.,Direct Mobility/Fitness signal.,Muscle discomfort; explanation asks whether muscles are achy or sore.,Pending whole-model review,circulatory_system; nervous_system; structural_system; physical_symptoms,4
33,,,,,,,,,,Q33,"I can suffer from dry, damaged or dull hair",Review / potentially combine,,"Likely intended as a visible physical/nutritional status signal, but the explanation sheet provides no further rationale.",Hair condition is non-specific and overlaps with Q23 hair loss.,"Review together with Q23. Two questions may be justified if they capture distinct constructs, but the model should demonstrate that both add value.",Low-specificity structural/nutritional context.,"Dry, damaged or dull hair.",Pending whole-model review,digestive_system; urinary_system; physical_symptoms,3
34,,,,,,,,,,Q34,I am exposed to air pollution,Modernise / keep,,"This is a deliberate environmental exposure signal, not merely a generic lifestyle question.","Environmental air-pollution exposure has strong health relevance, particularly respiratory and cardiovascular pathways.",Retain concept. Modernise to distinguish meaningful exposure and potentially include occupational/environmental exposure where appropriate.,Respiratory/Circulatory exposure signal.,Air pollution exposure; explanation explicitly includes living in a city and regular commuting in heavy traffic.,Pending whole-model review,lifestyle_nutrition,1
35,,,,,,,,,,Q35,I sometimes get sleepy whilst sitting,Keep,,"This is intended as daytime sleepiness/low alertness, distinct from Q20's restless/insufficient sleep.",Daytime sleepiness is a useful functional signal but can have many causes.,Retain. Strong supporting signal for Sleep and Energy; avoid diagnosing sleep disorders.,Direct/supporting Sleep/Energy signal.,Sleepiness while sitting; explanation asks whether the person falls asleep when sitting down or watching TV.,Pending whole-model review,circulatory_system; glandular_system; currently_feeling,3
36,,,,,,,,,,Q36,I sometimes lose my appetite,Review / medical-context sensitivity,,Loss of appetite can be transient and benign but can also be a clinically important symptom.,Useful symptom but potentially more medically sensitive than the surrounding lifestyle questions.,Retain only if its recommendation/safety treatment is clearly defined. Consider whether Q48 or future safety rules need to prevent inappropriate nutritional recommendations when appetite loss is reported.,Medical-context/supporting Digestive/Energy signal.,Loss of appetite; explanation asks whether the person does not feel like eating.,Pending whole-model review,digestive_system; nervous_system; glandular_system; currently_feeling,4
37,,,,,,,,,,Q37,"I drink more than 2 cups of tea, coffee or caffeinated drinks per day",Keep / modernise,,Clearly intended to capture caffeine exposure.,"Caffeine exposure is relevant to sleep, alertness and stress, but a fixed two-cup threshold does not account for beverage strength or timing.",Retain concept. Modernise to capture amount and especially timing relative to bedtime.,Sleep/Stress/Energy exposure signal.,"More than two cups of tea, coffee or caffeinated drinks per day.",Pending whole-model review,nervous_system; glandular_system; structural_system; lifestyle_nutrition,4
38,,,,,,,,,,Q38,I sometimes feel out of control,Keep / clarify,,The historical wording appears to target emotional regulation/temper.,"The underlying construct is emotional dysregulation/stress, but the wording is unnecessarily pejorative and ambiguous.","Retain concept but rewrite substantially. Use neutral language around losing control, becoming overwhelmed or reacting strongly.",Direct Stress/Resilience signal.,Feeling out of control; explanation asks whether the person loses their temper or can be a 'maniac'.,Pending whole-model review,nervous_system; glandular_system; structural_system; currently_feeling,4
39,,,,,,,,,,Q39,I have food or chemical sensitivities,Keep / clarify,,Intended as sensitivity/context information rather than a conventional body-system symptom.,Food intolerance/sensitivity terminology is complex and should not be conflated with IgE-mediated allergy. Chemical sensitivity is also heterogeneous.,Retain only with careful terminology and a clear safety/profile role. Consider moving food-related restriction information to the dietary profile where appropriate.,Dietary/safety context; not a general wellness deficit.,Food or chemical sensitivities; explanation asks whether the person reacts to certain foods or chemicals.,Pending whole-model review,digestive_system; intestinal_system; lifestyle_nutrition,3
40,,,,,,,,,,Q40,I can suffer from yeast/fungus issues,Review strongly,,The original intent is explicit but the supplied material does not provide the clinical rationale behind its system mappings.,Recurrent fungal/yeast infections can have many causes. This is not a simple marker of 'gut health' or immune weakness.,Requires stronger rationale before retaining in the recommendation model. Avoid using it as evidence for microbiome imbalance without evidence.,Potential medical-context signal; high caution.,Yeast/fungus issues; explanation asks whether the person suffers from yeast/fungus infections.,Pending whole-model review,digestive_system; intestinal_system; physical_symptoms,3
41,,,,,,,,,,Q41,I sometimes have joint discomfort/weakness,Keep,,Direct musculoskeletal symptom signal.,"Strong as symptom capture, but not specific to cause.",Retain as a core Mobility/Joint Health signal.,Direct Mobility/Joint signal.,Joint discomfort/weakness; explanation asks whether the person has aches/pains in joints or muscles.,Pending whole-model review,digestive_system; intestinal_system; circulatory_system; nervous_system; structural_system; physical_symptoms,6
42,,,,,,,,,,Q42,I find myself worrying excessively sometimes,Keep,,Clear stress/anxiety-related symptom signal.,Useful self-reported worry signal but should not be treated as a diagnosis.,Retain. Strong Stress signal and relevant to Sleep.,Direct Stress signal.,Excessive worry; explanation asks whether the person is always worrying about things.,Pending whole-model review,digestive_system; nervous_system; currently_feeling,3
43,,,,,,,,,,Q43,I can be easily irritated or angered,Keep,,Clear emotional-regulation/stress signal.,"Useful symptom/context signal, non-diagnostic.","Retain, with neutral modern wording.",Direct Stress/Resilience signal.,Easily irritated/angered; explanation asks whether the person has a short fuse.,Pending whole-model review,intestinal_system; nervous_system; glandular_system; currently_feeling,4
44,,,,,,,,,,Q44,I do insufficient exercise,Keep / modernise,,Direct physical-activity behaviour signal.,Strong relevance to physical fitness and cardiometabolic health. 'Enough' is subjective.,Retain. Replace 'enough' with a measurable activity/frequency construct if desired.,Direct Fitness signal; supporting Weight/Circulatory.,Insufficient exercise; explanation asks whether the person gets enough exercise.,Pending whole-model review,intestinal_system; circulatory_system; nervous_system; glandular_system; structural_system; lifestyle_nutrition,6
45,,,,,,,,,,Q45,I can suffer from problems with congestion or mucus,Keep / clarify,,Direct respiratory symptom signal.,Useful symptom capture but non-specific.,"Retain, potentially distinguish chronic/recurrent symptoms from temporary illness.",Direct Respiratory signal.,Congestion or mucus; explanation asks whether the person has congestion or mucus in the respiratory tract.,Pending whole-model review,intestinal_system; physical_symptoms,2
46,,,,,,,,,,Q46,I have menopause worries or concerns,Keep / modernise,,Female-specific symptom/context signal. The exact historical rationale should remain tied to the supplied wording rather than inferred beyond it.,"Useful context for reproductive/menopause-related outcomes, but symptoms are non-specific.",Retain as female-specific. Modernise wording and ensure it does not imply diagnosis.,Menopause/reproductive context.,Menstruation problems; current interpretation is a female-specific menstrual/menopause-related question.,Pending whole-model review,intestinal_system; urinary_system; glandular_system; physical_symptoms,4
47,,,,,,,,,,Q47,I have concerns about my menstrual cycle or menopause-related symptoms,Keep,,Direct menopause-related concern signal.,Useful self-reported outcome/context signal; not diagnostic.,Retain as a direct menopause outcome signal.,Direct Menopause signal.,Menopausal concerns; explanation says the question is to be answered if the person has menopausal concerns.,Pending whole-model review,nervous_system; glandular_system; structural_system; physical_symptoms,4
48,,,,,,,,,,Q48,I am under treatment or have a chronic condition,Restore / safety context,,The supplied current form definition establishes it as treatment/chronic-condition context rather than a body-system symptom.,"This is safety/eligibility context, not evidence of a particular health outcome.",Retain separately. It should constrain recommendation handling rather than increase an outcome score.,Medical safety/context only.,"Medical treatment/chronic condition. This is now defined as a general medical context question, separate from the nine body-system scores.",Pending whole-model review,medical_conditions,1
