display_no,production_id,legacy_id,construct,question,evidence_role,answer_type,answer_options,stored_values,response_spec_status,response_source,final_weight,weight_status,legacy_response_weight,conditional
32,MND004,Q30,Difficulty relaxing / switching off,Retained construct; Mood/Stress and Sleep convergence.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
33,NUT008,Q31,Fibre-rich foods,Retained construct; exact final wording requires canonical reconciliation.,Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
34,PHY006,Q32,Muscle discomfort,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
35,EXP003,Q34,Air-pollution exposure,Retained exposure/context construct; cannot alone establish respiratory disease.,Context/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
36,SLP003,Q35,Daytime sleepiness,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
37,CTX002,Q36,Persistent appetite loss,Retained as non-specific context.,Context,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
38,SLP004,Q37,Caffeine amount,How many caffeinated drinks do you typically have each day?,Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
39,SLP005,Q37b,Caffeine timing,When do you usually have your last caffeinated drink of the day?,Conditional supporting,single_select,"[""I do not have caffeinated drinks"", ""Before midday"", ""Between midday and 3 pm"", ""Between 3 pm and 6 pm"", ""After 6 pm""]",,provisional,question-spec,,TBD - scoring phase,,True
40,MND005,Q38,Overwhelm / coping difficulty,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
41,SAF004,Q39,Food / chemical sensitivity,Retained safety/filtering construct; exact final wording requires canonical reconciliation.,Safety,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
42,PHY007,Q41,Joint pain / stiffness / mobility,Retained construct; exact final wording requires canonical reconciliation.,Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
43,MND006,Q42,Excessive worry,Retained construct; exact final wording requires canonical reconciliation.,Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
44,MND007,Q43,Irritability / frustration,Retained construct; primarily Mood/Stress; not an independent CVD score.,Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
45,PHY008,Q44,Physical activity + strength activity,How much moderate or vigorous physical activity do you typically do each week? Follow-up: How often do you do activities that strengthen your muscles?,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
46,EXP004,Q45,Recurrent congestion / mucus,Retained respiratory construct; exact final wording requires canonical reconciliation.,Context/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
47,LIF001,Q46,Menstrual-cycle concerns,Conditional life-stage question.,Conditional,radio,"[""Yes"", ""No / Not applicable""]","[1, 0]",canonical reconciliation required,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,True
48,LIF002,Q47,Perimenopause / menopause concerns,Conditional life-stage question.,Conditional,radio,"[""Yes"", ""No / Not applicable""]","[1, 0]",canonical reconciliation required,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,True
49,SAF005,Q48,Medical treatment / diagnosed long-term condition,Are you currently receiving medical treatment or managing a diagnosed long-term health condition?,Safety/context,radio,"[""Yes"", ""No / Not applicable""]","[1, 0]",canonical reconciliation required,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
50,EXP005,NEW-01,Sedentary / prolonged sitting,Modern addition; final committed wording required.,Supporting,,,,not specified in current source,registry only,,TBD - scoring phase,,False
51,NUT009,NEW-02,Ultra / highly processed food exposure,Modern addition; final committed wording required.,Supporting,,,,not specified in current source,registry only,,TBD - scoring phase,,False
52,NUT010,NEW-03,Fruit / vegetable intake,Modern addition; final committed wording required.,Supporting,,,,not specified in current source,registry only,,TBD - scoring phase,,False
53,SLP006,NEW-04,Sleep duration / circadian routine,Modern addition; final committed wording required.,Supporting,,,,not specified in current source,registry only,,TBD - scoring phase,,False
54,MND008,NEW-05,Social connection / support,How often do you feel you have enough meaningful social connection and support in your life?,Direct/supporting,,,,not specified in current source,registry only,,TBD - scoring phase,,False
